Open,High,Low,Close,Volume,Dividends,Stock Splits
146.71618623300301,148.28107646818216,144.52138720505258,146.48980712890625,103718400,0.0,0.0
147.5330747402819,149.3440325752995,145.34812731297455,146.36187744140625,74286600,0.0,0.0
145.49576829817823,148.8814531521364,144.5410833823405,148.82240295410156,72348100,0.0,0.0
144.58043039547144,145.63354221228246,142.17897081970852,143.08444213867188,88570300,0.0,0.0
144.70842020614944,146.22411227912656,142.61204773670627,143.8324737548828,71598400,0.0,0.0
142.07072118986648,146.64729173693155,141.82466868695218,146.36187744140625,67808200,0.0,0.0
146.23392365623158,147.50354794884595,145.13161326153673,145.62371826171875,53950200,0.0,0.0
144.75758953991215,145.61384732144396,140.27943162604245,140.3876953125,69473000,0.0,0.0
138.06499277205677,138.53740941897706,134.89583502233484,134.96473693847656,91437900,0.0,0.0
130.7719502456552,133.06516086295247,129.36453745178866,129.79759216308594,122207100,0.0,0.0
131.02791005525017,131.7759044083777,129.40395419813282,130.6637420654297,84784300,0.0,0.0
132.1695811727179,135.1714252868018,130.07322365850183,133.2915802001953,91533000,0.0,0.0
129.9944870133419,130.2995897771678,127.00247954942031,128.00637817382812,108123900,0.0,0.0
128.01620271778103,130.97866943008026,127.76029850473763,129.482666015625,134520300,0.0,0.0
131.31329785187046,134.8958216908251,131.21488586149243,133.724609375,81000500,0.0,0.0
132.6616897658164,135.5847953387102,131.79559497900595,133.21286010742188,73409200,0.0,0.0
134.65961425641447,136.40165507690898,133.48840199836928,136.0867156982422,72433800,0.0,0.0
137.69096810591373,139.66923974712645,137.56303102259437,139.42318725585938,89116800,0.0,0.0
140.44675901167543,141.22429329407663,138.74407997710588,139.42318725585938,70207900,0.0,0.0
139.88578412525837,141.15540852649434,135.1517360213465,135.26983642578125,67083400,0.0,0.0
135.2895293397043,138.44883540642064,134.51199493699397,137.0315704345703,66242400,0.0,0.0
135.08283314259847,136.1851436237319,131.65778627775248,134.5612030029297,98964500,0.0,0.0
133.8919012274295,136.84453077392945,133.51791169701116,136.73626708984375,71051600,0.0,0.0
135.59463354770725,139.37399683516924,134.767885626568,139.3247833251953,73353800,0.0,0.0
139.11808248899268,141.84433323860637,138.85234159739986,140.6632843017578,74064300,0.0,0.0
141.02745853360616,144.23599306904134,141.0176218390398,144.03915405273438,66253700,0.0,0.0
142.96633860975416,145.22018791054785,142.7104494172261,144.71823120117188,64547800,0.0,0.0
143.36987531125314,144.3245602553875,141.50971892875648,142.58250427246094,63141600,0.0,0.0
143.4584425008562,146.10596977247354,142.7596618190989,143.55686950683594,77588800,0.0,0.0
140.732208499025,144.13756705664937,139.87593549444708,143.19273376464844,71185600,0.0,0.0
141.80497494021958,146.59807271073137,140.98807885917248,146.1256561279297,78140700,0.0,0.0
147.4149715696043,148.47792016432717,145.85991797831633,147.79881286621094,76259900,0.0,0.0
148.35983676190435,149.17673295190042,144.3836195242813,144.74778747558594,81420900,0.0,0.0
145.58433884840355,148.8420714884981,144.59029217223815,148.61570739746094,82982400,0.0,0.0
148.73380801228873,151.29275997844778,147.99565052411046,150.6234893798828,64823400,0.0,0.0
152.06044916137068,153.11356109876007,149.54087389527504,152.89703369140625,65086600,0.0,0.0
152.93639744167695,153.8123437761435,150.98766576840873,151.65692138671875,66675400,0.0,0.0
151.5781876406526,152.59192281243702,149.8755084226827,150.53492736816406,53623900,0.0,0.0
149.85583561149025,150.6727318576423,148.41889716817153,149.20626831054688,55138700,0.0,0.0
150.17076942758217,154.84576710893515,149.75740301368916,154.3142852783203,78620700,0.0,0.0
154.50129531236348,155.15087757432116,151.97188319707365,154.86546325683594,81378700,0.0,0.0
158.69404891618413,161.04631055801715,156.98151786037047,159.94398498535156,101786900,0.0,0.0
158.46764232800993,161.00690586019908,158.34954193697632,158.95974731445312,67829400,0.0,0.0
157.57203453166576,159.84555733737668,157.10945460814798,157.4834442138672,59907000,0.0,0.0
158.30031154990738,163.9595182903737,158.21173626607992,163.5067901611328,82507500,0.0,0.0
163.38868774052628,164.55006328617097,161.83363422359466,163.1918487548828,55474100,0.0,0.0
160.8560601129534,163.45798329811657,160.64908228561242,162.96519470214844,56697000,0.23,0.0
163.97047703384425,165.3897106347166,161.8317762742878,162.4921112060547,60276900,0.0,0.0
161.65436841608152,163.42841029450733,160.89546979944944,162.5413818359375,63135500,0.0,0.0
165.26155937141485,166.89762095148,164.49281044366623,166.799072265625,70170500,0.0,0.0
167.60726977358985,168.52386446381027,165.76424507300587,166.05992126464844,57149200,0.0,0.0
167.3707287952548,169.68682621240507,166.9567731335436,169.6178436279297,68039400,0.0,0.0
169.04619612673898,170.88922057556053,168.8786498167292,170.69210815429688,54091700,0.0,0.0
170.28804476181145,171.20463947132552,169.18420299774098,170.53443908691406,56377100,0.0,0.0
170.27815992548992,173.60940030005358,170.0810475130616,172.03248596191406,79542000,0.0,0.0
171.2440198074247,172.37742744821887,170.62310142681395,171.63824462890625,62290100,0.0,0.0
170.53441975425127,171.23418617524862,168.83922578662404,169.04620361328125,70346300,0.0,0.0
167.2426018901802,167.41014821395845,164.72937695607638,165.15318298339844,69026800,0.0,0.0
164.6702084046216,166.27670374105745,164.24640247078557,164.8180389404297,54147100,0.0,0.0
164.90676099384123,165.68536025466128,163.85218632044496,165.1137237548828,53841500,0.0,0.0
166.34571105112042,167.68609658373745,165.92192009296824,167.5776824951172,51218200,0.0,0.0
168.1099211092857,168.58299398508154,161.20101486509154,161.26014709472656,78961000,0.0,0.0
158.82573564976346,160.55049548789057,157.5149314068537,159.05242919921875,73314000,0.0,0.0
